name_ID,name_orig,name_orig_for_lookup,google_name,name_compare,brief_desc,image_url,image_source,detailed_desc,desc_source
613,"Child, Paul",Paul Child,Paul Walker,FALSE,American actor,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcROa5F0fhQS1HI7ZkoMevmtk8snQC7X0JzHikmgEtDPklY2qyVC,https://commons.wikimedia.org/wiki/File:PaulWalkerEdit-1.jpg,"Paul William Walker IV was an American actor. He is best known for his role as Brian O'Conner in the Fast &amp; Furious franchise.
Walker began his career as a child actor during the 1970s and 1980s, and gained recognition in the early 1990s after appearing in the television soap opera The Young and the Restless. ",https://en.wikipedia.org/wiki/Paul_Walker
614,"Clark, Dick",Dick Clark,Dick Clark,TRUE,American radio personality,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkcGsAt0qSU6c3FqaqGRy_dL6Gli6L9WT3iOpwg98GIOqDc0Sc,https://commons.wikimedia.org/wiki/File:Dick_Clark_cropped.jpg,"Richard Wagstaff Clark was an American radio and television personality, television producer and film actor, as well as a cultural icon who remains best known for hosting American Bandstand from 1956 to 1989. ",https://en.wikipedia.org/wiki/Dick_Clark
616,"Cole, Kenneth",Kenneth Cole,Cole Hauser,FALSE,American actor,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQIVI7igPkLLtmpY-TZqprtNEL0SJDD4cMoe9HmmARXdQjSL2fd,https://commons.wikimedia.org/wiki/File:Cole_Hauser.jpg,"Cole Kenneth Hauser is an American actor. He is best known for his roles in the films School Ties, Dazed and Confused, Good Will Hunting, Pitch Black, Tigerland, Hart's War, Tears of the Sun, 2 Fast 2 Furious, The Cave, The Break-Up, A Good Day to Die Hard, Olympus Has Fallen, and Transcendence. ",https://en.wikipedia.org/wiki/Cole_Hauser
617,"Connally, John",John Connally,John Connally,TRUE,Former Governor of Texas,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSLnvZWO2zEcoFzCU3CyIUwlseWX8UnUC5msnrt-zOUFEUQJS1R,https://ja.m.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:John_Connally.jpg,"John Bowden Connally Jr. was an American politician. He served as the 39th Governor of Texas and as the 61st United States Secretary of the Treasury. He began his career as a Democrat and later became a Republican in 1973.
",https://en.wikipedia.org/wiki/John_Connally
618,"Dali, Salvador",Salvador Dali,Salvador DalÃ­,FALSE,Spanish artist,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQaKeocweWMu8VfRq7zs4A21bAC5TgMUzb4RcRFSZAjqVyIsY69,https://eo.m.wikipedia.org/wiki/Dosiero:Salvador_Dali_NYWTS.jpg,"Salvador Domingo Felipe Jacinto DalÃ­ i DomÃ¨nech, 1st Marquess of DalÃ­ de PÃºbol was a Spanish Surrealist artist renowned for his technical skill, precise draftsmanship and the striking and bizarre images in his work.
",https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD
620,"Davis, Jefferson",Jefferson Davis,Jefferson Davis,TRUE,Former President of the Confederate States,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT9CaikvKoz_gltU5LOu3KKzGuwV3jypjTE-pfg8ShNufUWJCSH,"https://commons.wikimedia.org/wiki/File:Jefferson_Davis_by_Vannerson,_1859.jpg","Jefferson Finis Davis was an American politician who served as the president of the Confederate States from 1861 to 1865. As a member of the Democratic Party, he represented Mississippi in the United States Senate and the House of Representatives before the American Civil War. ",https://en.wikipedia.org/wiki/Jefferson_Davis
621,"Dewey, George",George Dewey,George Dewey,TRUE,Admiral,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPvArkXAnT2OzO2tntG7qYDedEjM-l3L4-jUPYgnfzSxTBJjge,https://commons.wikimedia.org/wiki/File:George_Dewey_calendar_cover_cph.3g09041.jpg,"George Dewey was Admiral of the Navy, the only person in United States history to have attained the rank. He is best known for his victory at the Battle of Manila Bay during the Spanishâ€“American War, with the loss of only a single crewman on the American side.
",https://en.wikipedia.org/wiki/George_Dewey
622,"Di Bona, Vin",Vin Di Bona,Vin Di Bona,TRUE,American television producer,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ0h3hqC1dB7sreO9kKCUq2Q43oqDkO2vTU8SdjanQjBqE_KKpA,https://en.wikipedia.org/wiki/Vin_Di_Bona,"Vincent John ""Vin"" Di Bona is an American television producer of the television shows MacGyver, Entertainment Tonight, and America's Funniest Home Videos. He runs an eponymous production company called Vin Di Bona Productions. ",https://en.wikipedia.org/wiki/Vin_Di_Bona
623,"Dirksen, Everett",Everett Dirksen,Everett Dirksen,TRUE,Former member of the United States Senate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQVgCZQeIGFchggHS435PJ5yXcnVOOa7x1yMNw04MsWyhXkBpM,https://commons.wikimedia.org/wiki/File:Everett_Dirksen_at_the_1964_RNC_(cropped1).jpg,"Everett McKinley Dirksen was an American politician. A member of the Republican Party, he represented Illinois in the United States House of Representatives and the United States Senate. ",https://en.wikipedia.org/wiki/Everett_Dirksen
627,"Ellsworth, Elmer E.",Elmer E. Ellsworth,Elmer E. Ellsworth,TRUE,Officer,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRjmYHKar-Ayeii2A5MnJl8U-fty6bLdnRbzACuzb-wa_APFhG1,https://commons.wikimedia.org/wiki/File:Elmer_Ellsworth.jpg,Elmer Ephraim Ellsworth was a United States Army officer and law clerk who was the first conspicuous casualty and the first Union officer to die in the American Civil War. ,https://en.wikipedia.org/wiki/Elmer_E._Ellsworth
