Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check,Name_Display,Topics,Sub_Category,Name_Web,smithsonian_URL,google_URL
"Graham, Martha",GrahamMartha,Cultural and Community Life,5,,,,ccl,ccl,Martha Graham,Dance, Entertainment,Martha%20Graham,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Martha%20Graham,https://www.google.com/search?q=Martha%20Graham
"Gray, Asa",GrayAsa,Work and Industry,5,,,,wi,wi,Asa Gray,"U.S. Exploring Expedition, Wilkes Blocks", Graphic Arts,Asa%20Gray,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Asa%20Gray,https://www.google.com/search?q=Asa%20Gray
"Gray, Juanita",GrayJuanita,Cultural and Community Life,5,,,,ccl,ccl,Juanita Gray,"Women, Sports, Rodeos, Professional, Women, Sports, Rodeos, Professional", Sport and Leisure,Juanita%20Gray,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Juanita%20Gray,https://www.google.com/search?q=Juanita%20Gray
"Green, Rayna",GreenRayna,Cultural and Community Life,5,,,,ccl,ccl,Rayna Green,"Saints, Roman Catholicism, Prayer, Religion, Food Culture", Religion,Rayna%20Green,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Rayna%20Green,https://www.google.com/search?q=Rayna%20Green
"Groebli, Werner",GroebliWerner,Cultural and Community Life,5,,,,ccl,ccl,Werner Groebli,"Amusements, Ice Skating, Professional, Sports, Vaudeville", Sport and Leisure,Werner%20Groebli,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Werner%20Groebli,https://www.google.com/search?q=Werner%20Groebli
"Harding, Kenneth R.",HardingKennethR,Political and Military History,5,images/640.jpg,,"Kenneth R. Harding served as Sergeant at Arms of the United States House of Representatives from October 1, 1972 until February 29, 1980.",img,pmh,Kenneth R. Harding,"U. S. Capitol, Politics, Democratic National Convention, Politics"," Political History, General History Collection",Kenneth%20R%20Harding,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Kenneth%20R%20Harding,https://www.google.com/search?q=Kenneth%20R%20Harding
"Harrison, William",HarrisonWilliam,Cultural and Community Life,5,images/181.jpg,9th U.S. President,William Henry Harrison was an American military officer and politician who served as the ninth president of the United States in 1841. ,img,ccl,William Harrison,"Government, Politics, Social reformers, Furnishings, Larsen Ceramics, Princeton Posters, Presidents, Inaugurations, Elections, Presidential Campaign of 1840, Thames, Battle of the (Ontario : 1813), Tippecanoe, Battle of (Indiana : 1811),"," Political History, Campaign Collection",William%20Harrison,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=William%20Harrison,https://www.google.com/search?q=William%20Harrison
"Hering S. A., Alfredo",HeringSAAlfredo,Cultural and Community Life,5,,,,ccl,ccl,Alfredo Hering S. A.,"Music, Musical instruments, Amusements", Musical Instruments,Alfredo%20Hering%20S%20A,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Alfredo%20Hering%20S%20A,https://www.google.com/search?q=Alfredo%20Hering%20S%20A
"Hornbrook, Thomas L.",HornbrookThomasL,Work and Industry,5,,,,wi,wi,Thomas L. Hornbrook,"Art, Cigna Maritime Collection, Transportation", Maritime,Thomas%20L%20Hornbrook,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Thomas%20L%20Hornbrook,https://www.google.com/search?q=Thomas%20L%20Hornbrook
"Howe, E.R.",HoweER,Cultural and Community Life,5,,,,ccl,ccl,E.R. Howe,"Art, Furnishings, Peters Prints, Architecture, Pets, Livestock, Dress accessories, Clothing and dress, Carriages, Animals, Architecture, Commercial Buildings, Children, Wagons, Chronology: 1860-1869, Chronology: 1870-1879, Comic prints, Food habits, Horses, Railroads, Animals, Art, Chronology: 1870-1879, Clothing and dress, Dress accessories, Furnishings, Horses, Peters Prints, Trio Races at Mystic Park, Trio Races at Mystic Park, Rematch", Domestic Life,ER%20Howe,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=ER%20Howe,https://www.google.com/search?q=ER%20Howe
"Jackson, Virgil A.",JacksonVirgilA,Political and Military History,5,,,,pmh,pmh,Virgil A. Jackson,"World War, 1939-1945"," Armed Forces History, Military",Virgil%20A%20Jackson,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Virgil%20A%20Jackson,https://www.google.com/search?q=Virgil%20A%20Jackson
"Jacque, Charles Emile",JacqueCharlesEmile,Work and Industry,5,,,,wi,wi,Charles Emile Jacque,"Art, Farms, Art, Blacksmiths, Portraits, Pigs, Art, Shepherd", Graphic Arts,Charles%20Emile%20Jacque,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Charles%20Emile%20Jacque,https://www.google.com/search?q=Charles%20Emile%20Jacque
"Johnson, Jack",JohnsonJack,Cultural and Community Life,5,images/642.jpg,American singer-songwriter,"Jack Hody Johnson is an American singer-songwriter, multi-instrumentalist, actor, record producer, documentary filmmaker and former professional surfer. Johnson is known primarily for his work in the soft rock and acoustic genres. In 2001, he achieved commercial success after the release of his debut album, Brushfire Fairytales. ",img,ccl,Jack Johnson,"Sports, Professional", Sport and Leisure,Jack%20Johnson,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Jack%20Johnson,https://www.google.com/search?q=Jack%20Johnson
"Jolson, Al",JolsonAl,Cultural and Community Life,5,images/643.jpg,American-Lithuanian singer,"Al Jolson was a Lithuanian-born American singer, comedian, and actor. Jolson has been dubbed ""the king of blackface"" performers, a theatrical convention since the mid-19th century. ",img,ccl,Al Jolson,"Musical instruments, Music, Amusements, World War, 1939-1945", Entertainment,Al%20Jolson,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Al%20Jolson,https://www.google.com/search?q=Al%20Jolson
"Kahan, Benjamin",KahanBenjamin,Cultural and Community Life,5,,,,ccl,ccl,Benjamin Kahan,"Death, Emigration and immigration, Family, Holidays and Celebrations, general, Judaism, Passover, Religion, Rosh Hashanah, Weddings, Yom Kippur", Religion,Benjamin%20Kahan,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Benjamin%20Kahan,https://www.google.com/search?q=Benjamin%20Kahan
"Kennedy, Jr., John",KennedyJrJohn,Political and Military History,5,images/644.jpg,Former American senator,"Edward Moore Kennedy was an American politician and lawyer who served as a U.S. Senator from Massachusetts for almost 47 years, from 1962 until his death in 2009. ",img,pmh,John Jr. Kennedy,"Presidents, Family, Children, Cemetery, Photography, Dance, Elections, First ladies, Government, Presidents' spouses, Veteran's Day, Presidents' spouses, Horses, Animals, Children, Family, First ladies"," Political History, Presidential History Collection",John%20Jr%20Kennedy,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=John%20Jr%20Kennedy,https://www.google.com/search?q=John%20Jr%20Kennedy
"Keyes, Alan",KeyesAlan,Political and Military History,5,images/645.jpg,American pundit,"Alan Lee Keyes is an American conservative political activist, pundit, author and former ambassador.
A doctoral graduate of Harvard University, Keyes began his diplomatic career in the U.S. ",img,pmh,Alan Keyes,"Politics, Iowa Caucus 2008, Newspapers, Politics, Presidential Campaign of 2008, Presidents, Politics"," Political History, Campaign Collection",Alan%20Keyes,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Alan%20Keyes,https://www.google.com/search?q=Alan%20Keyes
"Kim, Bill",KimBill,Cultural and Community Life,5,images/646.jpg,,,ccl,ccl,Bill Kim,"Costume, Men", Costume,Bill%20Kim,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Bill%20Kim,https://www.google.com/search?q=Bill%20Kim
"Kogan, Belle",KoganBelle,Cultural and Community Life,5,,Industrial designer,Belle Kogan was a Russian born industrial designer and is regarded as the first prominent female in the profession in the United States as well as one of the founders of the profession itself. ,ccl,ccl,Belle Kogan,"Furnishings, Food, Food, Furnishings", Ceramics and Glass,Belle%20Kogan,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Belle%20Kogan,https://www.google.com/search?q=Belle%20Kogan
"Koubek, Eva",KoubekEva,Cultural and Community Life,5,,,,ccl,ccl,Eva Koubek,Women, Costume,Eva%20Koubek,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Eva%20Koubek,https://www.google.com/search?q=Eva%20Koubek
"Lawrence, Lilly F.",LawrenceLillyF,Cultural and Community Life,5,,,,ccl,ccl,Lilly F. Lawrence,"Women, Smoking", Costume,Lilly%20F%20Lawrence,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Lilly%20F%20Lawrence,https://www.google.com/search?q=Lilly%20F%20Lawrence
