Name,Name_ID,Name_Display,Category,fill_check,border_check,Items
"Taft, William H.",TaftWilliamH,William H. Taft,Work and Industry,wi,wi,2
"Tait, Arthur Fitzwilliam",TaitArthurFitzwilliam,Arthur Fitzwilliam Tait,Cultural and Community Life,ccl,ccl,2
"Tait, Arthur Fitzwilliam",TaitArthurFitzwilliam,Arthur Fitzwilliam Tait,Work and Industry,wi,wi,2
"Targee, John",TargeeJohn,John Targee,Political and Military History,pmh,pmh,2
"Tawse, Charles",TawseCharles,Charles Tawse,Cultural and Community Life,ccl,ccl,2
"Taylor, Hound Dog",TaylorHoundDog,Hound Dog Taylor,Cultural and Community Life,ccl,ccl,2
"Taylor, Isaac",TaylorIsaac,Isaac Taylor,Work and Industry,wi,wi,2
"Taylor, John Bigelow",TaylorJohnBigelow,John Bigelow Taylor,Work and Industry,wi,wi,2
"Taylor, Sue Border",TaylorSueBorder,Sue Border Taylor,Cultural and Community Life,ccl,ccl,2
"Temple, Lewis",TempleLewis,Lewis Temple,Work and Industry,wi,wi,2
"Templin, Lucinda de Leftwich",TemplinLucindadeLeftwich,Lucinda de Leftwich Templin,Cultural and Community Life,ccl,ccl,2
"Teniers II, David",TeniersIIDavid,David Teniers II,Work and Industry,wi,wi,2
"Terry, Eli",TerryEli,Eli Terry,Work and Industry,wi,wi,2
"Thatcher, Margaret",ThatcherMargaret,Margaret Thatcher,Political and Military History,pmh,pmh,2
"Thaxter, Samuel",ThaxterSamuel,Samuel Thaxter,Medicine and Science,ms,ms,2
"Thode, Sr., Robert Dean",ThodeSrRobertDean,Robert Dean Sr. Thode,Cultural and Community Life,ccl,ccl,2
"Thomas, Frank J.",ThomasFrankJ,Frank J. Thomas,Medicine and Science,ms,ms,2
"Thomas, Helen",ThomasHelen,Helen Thomas,Political and Military History,pmh,pmh,2
"Thomas, Jerry",ThomasJerry,Jerry Thomas,Work and Industry,wi,wi,2
"Thompson, Joseph W.",ThompsonJosephW,Joseph W. Thompson,Work and Industry,wi,wi,2
"Thorpe, Jay",ThorpeJay,Jay Thorpe,Cultural and Community Life,ccl,ccl,2
"Thum, Mandeville",ThumMandeville,Mandeville Thum,Work and Industry,wi,wi,2
"Thurmond, Strom",ThurmondStrom,Strom Thurmond,Political and Military History,pmh,pmh,2
"Thurstone, L. L.",ThurstoneLL,L. L. Thurstone,Medicine and Science,ms,ms,2
"Tiegs, Ernest W.",TiegsErnestW,Ernest W. Tiegs,Medicine and Science,ms,ms,2
"Tillotson, Johnny",TillotsonJohnny,Johnny Tillotson,Cultural and Community Life,ccl,ccl,2
"Tinling, Teddy",TinlingTeddy,Teddy Tinling,Cultural and Community Life,ccl,ccl,2
"Tippit, Jack",TippitJack,Jack Tippit,Work and Industry,wi,wi,2
"Tomkins, Commander J. T.",TomkinsCommanderJT,Commander J. T. Tomkins,Political and Military History,pmh,pmh,2
"Torrence, Lois",TorrenceLois,Lois Torrence,Cultural and Community Life,ccl,ccl,2
"Torrence, Madge Ada Chamerlin",TorrenceMadgeAdaChamerlin,Madge Ada Chamerlin Torrence,Cultural and Community Life,ccl,ccl,2
"Townes, Charles H.",TownesCharlesH,Charles H. Townes,Work and Industry,wi,wi,2
"Townsend, E. D.",TownsendED,E. D. Townsend,Political and Military History,pmh,pmh,2
"Tracy, Myrtle Isabel",TracyMyrtleIsabel,Myrtle Isabel Tracy,Cultural and Community Life,ccl,ccl,2
"Trager, Philip",TragerPhilip,Philip Trager,Work and Industry,wi,wi,2
"Tranter, William",TranterWilliam,William Tranter,Political and Military History,pmh,pmh,2
"Travis, Randy",TravisRandy,Randy Travis,Political and Military History,pmh,pmh,2
"Trevino, Lee",TrevinoLee,Lee Trevino,Cultural and Community Life,ccl,ccl,2
"Trivett, John V.",TrivettJohnV,John V. Trivett,Medicine and Science,ms,ms,2
"Troiani, Donald",TroianiDonald,Donald Troiani,Political and Military History,pmh,pmh,2
"Trudeau, Garry",TrudeauGarry,Garry Trudeau,Political and Military History,pmh,pmh,2
"Tsongas, Paul",TsongasPaul,Paul Tsongas,Political and Military History,pmh,pmh,2
"Tubman, Harriet",TubmanHarriet,Harriet Tubman,Political and Military History,pmh,pmh,2
"Tufts, Otis",TuftsOtis,Otis Tufts,Work and Industry,wi,wi,2
"Turck, J. A. V.",TurckJAV,J. A. V. Turck,Medicine and Science,ms,ms,2
"Turgis, Madame la Veuve",TurgisMadamelaVeuve,Madame la Veuve Turgis,Work and Industry,wi,wi,2
"Turner, Dick",TurnerDick,Dick Turner,Work and Industry,wi,wi,2
"Tutre de Varreux, Camille",TutredeVarreuxCamille,Camille Tutre de Varreux,Cultural and Community Life,ccl,ccl,2
"Tyler, Harry",TylerHarry,Harry Tyler,Cultural and Community Life,ccl,ccl,2
"Uhrig, Joe",UhrigJoe,Joe Uhrig,Cultural and Community Life,ccl,ccl,2
"Ure, Robert",UreRobert,Robert Ure,Work and Industry,wi,wi,2
"Vaccine Institute, Belgaum",VaccineInstituteBelgaum,Belgaum Vaccine Institute,Medicine and Science,ms,ms,2
"Valens, Evans G.",ValensEvansG,Evans G. Valens,Medicine and Science,ms,ms,2
"Van Doren, Manie A.",VanDorenManieA,Manie A. Van Doren,Cultural and Community Life,ccl,ccl,2
"Van Dyck, Anthony",VanDyckAnthony,Anthony Van Dyck,Work and Industry,wi,wi,2
"Vandyck, Anthony",VandyckAnthony,Anthony Vandyck,Work and Industry,wi,wi,2
"Veronese, Paolo",VeronesePaolo,Paolo Veronese,Work and Industry,wi,wi,2
"Vicaire, C.",VicaireC,C. Vicaire,Cultural and Community Life,ccl,ccl,2
"Victoria, Queen",VictoriaQueen,Queen Victoria,Political and Military History,pmh,pmh,2
"Villa, Pancho",VillaPancho,Pancho Villa,Political and Military History,pmh,pmh,2
"Villaret, Charlotte",VillaretCharlotte,Charlotte Villaret,Cultural and Community Life,ccl,ccl,2
"Vinaccia, Gaetano",VinacciaGaetano,Gaetano Vinaccia,Cultural and Community Life,ccl,ccl,2
"Vincent, George",VincentGeorge,George Vincent,Cultural and Community Life,ccl,ccl,2
"Voelker, Paul H.",VoelkerPaulH,Paul H. Voelker,Medicine and Science,ms,ms,2
"Volk, David",VolkDavid,David Volk,Cultural and Community Life,ccl,ccl,2
"Vopel, Caspar",VopelCaspar,Caspar Vopel,Medicine and Science,ms,ms,2
"Vorse, Addison S.",VorseAddisonS,Addison S. Vorse,Cultural and Community Life,ccl,ccl,2
"Vorsterman, Lucas",VorstermanLucas,Lucas Vorsterman,Work and Industry,wi,wi,2
"Vue, Lia",VueLia,Lia Vue,Cultural and Community Life,ccl,ccl,2
"Vuillaume, Jean Baptiste",VuillaumeJeanBaptiste,Jean Baptiste Vuillaume,Cultural and Community Life,ccl,ccl,2
"WÃ¼rdemann, William",WÃ¼rdemannWilliam,William WÃ¼rdemann,Medicine and Science,ms,ms,2
"Wager-Smith, Edward",Wager-SmithEdward,Edward Wager-Smith,Medicine and Science,ms,ms,2
"Wagner, David P.",WagnerDavidP,David P. Wagner,Medicine and Science,ms,ms,2
"Wagner, Susan",WagnerSusan,Susan Wagner,Cultural and Community Life,ccl,ccl,2
"Waksman, Selman A.",WaksmanSelmanA,Selman A. Waksman,Medicine and Science,ms,ms,2
"Walcott, Mary L.",WalcottMaryL,Mary L. Walcott,Cultural and Community Life,ccl,ccl,2
"Walcott, Mary Vaux",WalcottMaryVaux,Mary Vaux Walcott,Cultural and Community Life,ccl,ccl,2
"Walker, Amelia Himes",WalkerAmeliaHimes,Amelia Himes Walker,Political and Military History,pmh,pmh,2
"Walker, Anthony",WalkerAnthony,Anthony Walker,Work and Industry,wi,wi,2
"Wallace, Sippie",WallaceSippie,Sippie Wallace,Cultural and Community Life,ccl,ccl,2
"Walter, Adam B.",WalterAdamB,Adam B. Walter,Work and Industry,wi,wi,2
"Walther, Susan M.",WaltherSusanM,Susan M. Walther,Work and Industry,wi,wi,2
"Warenskjold, Elise",WarenskjoldElise,Elise Warenskjold,Cultural and Community Life,ccl,ccl,2
"Warhol, Andy",WarholAndy,Andy Warhol,Political and Military History,pmh,pmh,2
"Warren, Elizabeth",WarrenElizabeth,Elizabeth Warren,Political and Military History,pmh,pmh,2
"Warwick, Dionne",WarwickDionne,Dionne Warwick,Cultural and Community Life,ccl,ccl,2
"Washington, Booker",WashingtonBooker,Booker Washington,Political and Military History,pmh,pmh,2
"Wattles, Julia Vance",WattlesJuliaVance,Julia Vance Wattles,Cultural and Community Life,ccl,ccl,2
"Watts, Isaac",WattsIsaac,Isaac Watts,Cultural and Community Life,ccl,ccl,2
"Waumans, Coenrad",WaumansCoenrad,Coenrad Waumans,Work and Industry,wi,wi,2
"Ways, C. I.",WaysCI,C. I. Ways,Work and Industry,wi,wi,2
"Webster, Noah",WebsterNoah,Noah Webster,Cultural and Community Life,ccl,ccl,2
"Webster, William G.",WebsterWilliamG,William G. Webster,Cultural and Community Life,ccl,ccl,2
"Wedgwood, Josiah",WedgwoodJosiah,Josiah Wedgwood,Cultural and Community Life,ccl,ccl,2
"Weeks, Elizabeth Betsey",WeeksElizabethBetsey,Elizabeth Betsey Weeks,Cultural and Community Life,ccl,ccl,2
"Weeks, William",WeeksWilliam,William Weeks,Cultural and Community Life,ccl,ccl,2
"Weil, Tracy",WeilTracy,Tracy Weil,Political and Military History,pmh,pmh,2
"Weinman, Adolph A.",WeinmanAdolphA,Adolph A. Weinman,Work and Industry,wi,wi,2
"Weir, Robert W.",WeirRobertW,Robert W. Weir,Political and Military History,pmh,pmh,2
"Weiss, Paul",WeissPaul,Paul Weiss,Work and Industry,wi,wi,2
"Welch, Frankie",WelchFrankie,Frankie Welch,Political and Military History,pmh,pmh,2
"Wells, J.",WellsJ,J. Wells,Work and Industry,wi,wi,2
"Wells, Kitty",WellsKitty,Kitty Wells,Cultural and Community Life,ccl,ccl,2
"Welsh, Horace Devitt",WelshHoraceDevitt,Horace Devitt Welsh,Political and Military History,pmh,pmh,2
